"quantity"|"unit"|"ingredient"|"recipe_id"
"2"|"Unit"|"Yellow Onion"|9
"1"|"Tbsp"|"Olive Oil"|9
"1"|"Dash"|"Salt"|9
"0.5"|"Lb"|"Chicken"|9
"1"|"Tbsp"|"Unsalted Butter"|9
"2"|"Clove"|"Garlic"|9
"1"|"Unit"|"Bell Pepper"|9
"5"|"Spear"|"Asparagus"|9
"2"|"Unit"|"Yukon Gold Potatoes"|9
"0.5"|"Box"|"Japnese Curry Roux"|9
"1"|"Cup"|"Chicken Stock"|9
"1"|"Cup"|"Water"|9
"0.75"|"Cup"|"Black Tea"|9
"1"|"Unit"|"Onion (Finely Chopped)"|16
"1"|"Unit"|"Bell Pepper (Finely Chopped)"|16
"1"|"Tsp"|"Onion Powder"|16
"1"|"Tsp"|"Garlic Powder"|16
"1"|"Tsp"|"Dried Oregano"|16
"1"|"Tsp"|"Cumin"|16
"1.5"|"Tsp"|"Paprika"|16
"0.5"|"Tsp"|"Cayenne Pepper"|16
"0.5"|"Tsp"|"Salt"|16
"0.25"|"Tsp"|"Black Pepper"|16
"1"|"Tbsp"|"Vegetable Oil"|16
"16"|"Oz"|"Ground Beef (5% Fat)"|16
"15"|"Oz"|"Black Beans (Drained)"|16
"8.5"|"Oz"|"Sweetcorn (Drained)"|16
"15"|"Oz"|"Diced Tomatoes"|16
"1"|"Cup"|"Brown Rice"|16
"1"|"Unit"|"Bouillon Cube"|16
"2"|"Cup"|"Water"|16
"1"|"Lb"|"Boneless Skinless Chicken Breast (1/2-inch Pieces)"|19
"3"|"Tbsp"|"Low Sodium Soy Sauce"|19
"5"|"Tsp"|"Rice Wine Vinegar"|19
"3"|"Tsp"|"Cornstarch"|19
"0.5"|"Cup"|"Water"|19
"1"|"Tbsp"|"Hoison Sauce"|19
"2"|"Clove"|"Garlic (Minced)"|19
"2"|"Tsp"|"Ginger (Minced)"|19
"0.25"|"Tsp"|"Crushed Red Pepper Flakes"|19
"3"|"Tsp"|"Canola Oil"|19
"1"|"Unit"|"Red Pepper (1-inch Pieces)"|19
"2"|"Unit"|"Scallions (Sliced)"|19
"0.33"|"Cup"|"Peanuts (Chopped)"|19
